VARIABLES = "X", "Y", "U", "V", "T", "O2", "CO2", "CH4", "CO"
ZONE I=229, J=201, F=POINT
420.0 0.625 0.71425 0.0 1.09058 0.18543 0.00092 0.16727 0.0
427.5 0.625 0.71724 0.0 1.09418 0.18605 0.00105 0.16386 0.0
435.0 0.625 0.72001 0.0 1.09823 0.18662 0.00119 0.16053 0.0
442.5 0.625 0.72258 0.0 1.10274 0.18714 0.00135 0.15729 0.0
450.0 0.625 0.72514 0.0 1.10772 0.18761 0.00152 0.15412 0.0
457.5 0.625 0.72777 0.0 1.11319 0.18804 0.00171 0.15103 0.0
465.0 0.625 0.73013 0.0 1.11914 0.18841 0.00191 0.14802 0.0
472.5 0.625 0.73208 0.0 1.12558 0.18874 0.00212 0.14508 0.0
480.0 0.625 0.73365 0.0 1.13252 0.18902 0.00234 0.14221 0.0
487.5 0.625 0.73471 0.0 1.13997 0.18926 0.00258 0.1394 0.0
495.0 0.625 0.73549 0.0 1.1479 0.18946 0.00283 0.13665 0.0
502.5 0.625 0.73626 0.0 1.15633 0.18962 0.00309 0.13395 0.0
510.0 0.625 0.73712 0.0 1.1652 0.18974 0.00337 0.1313 0.0
517.5 0.625 0.73813 0.0 1.17446 0.18982 0.00365 0.12869 0.0
525.0 0.625 0.73925 0.0 1.18405 0.18988 0.00395 0.12613 0.0
532.5 0.625 0.74041 0.0 1.19388 0.1899 0.00425 0.12363 0.0
540.0 0.625 0.74164 0.0 1.20387 0.1899 0.00456 0.12119 0.0
547.5 0.625 0.74275 0.0 1.21393 0.18988 0.00488 0.11883 0.0
555.0 0.625 0.74319 0.0 1.22402 0.18983 0.0052 0.11656 0.0
562.5 0.625 0.74292 0.0 1.23409 0.18976 0.00551 0.11438 0.0
570.0 0.625 0.7425 0.0 1.2441 0.18968 0.00583 0.11229 0.0
577.5 0.625 0.74204 0.0 1.25404 0.18957 0.00614 0.11029 0.0
585.0 0.625 0.7413 0.0 1.26392 0.18945 0.00645 0.10839 0.0
592.5 0.625 0.74037 0.0 1.27374 0.18931 0.00676 0.10658 0.0
600.0 0.625 0.73981 0.0 1.2835 0.18916 0.00706 0.10485 0.0
607.5 0.625 0.73996 0.0 1.2932 0.18899 0.00736 0.10322 0.0
615.0 0.625 0.74018 0.0 1.30284 0.18881 0.00765 0.10167 0.0
622.5 0.625 0.7401 0.0 1.31244 0.18861 0.00794 0.1002 0.0
630.0 0.625 0.73973 0.0 1.32201 0.18841 0.00822 0.0988 0.0
637.5 0.625 0.73909 0.0 1.33158 0.18819 0.0085 0.09749 0.0
645.0 0.625 0.73854 0.0 1.3412 0.18795 0.00877 0.09624 0.0
652.5 0.625 0.73866 0.0 1.35088 0.18771 0.00904 0.09507 0.0
660.0 0.625 0.73992 0.0 1.36064 0.18745 0.0093 0.09396 0.0
